Word,Synonyms
assigned,delegate;designate;depute;assign|assign;allot;portion|impute;ascribe;assign;attribute|assign;specify;set apart|put;assign|arrogate;assign|assign|assign;attribute
assistant,helper;help;supporter
assistant,adjunct
assisted,help;assist;aid|assist|serve;attend to;wait on;attend;assist
assisted,aided
associate,companion;comrade;fellow;familiar|associate degree
associate,tie in;relate;link;colligate;link up;connect|consort;affiliate;assort|consociate
assumed,assume;presume;take for granted|assume;adopt;take on;take over|assume;acquire;adopt;take on;take|bear;take over;accept;assume|assume;take;strike;take up|assume;usurp;seize;take over;arrogate|simulate;assume;sham;feign|assume|wear;put on;get into;don;assume
assumed,false;fictitious;fictive;pretended;put on;sham
assuming,assume;presume;take for granted|assume;adopt;take on;take over|assume;acquire;adopt;take on;take|bear;take over;accept;assume|assume;take;strike;take up|assume;usurp;seize;take over;arrogate|simulate;assume;sham;feign|assume|wear;put on;get into;don;assume
assuming,assumptive;presumptuous
assured,guarantee;ensure;insure;assure;secure|assure;tell|assure|see;check;insure;see to it;ensure;control;ascertain;assure|reassure;assure|promise;assure
assuring,guarantee;ensure;insure;assure;secure|assure;tell|assure|see;check;insure;see to it;ensure;control;ascertain;assure|reassure;assure|promise;assure
asteroid,star-shaped
astonished,amaze;astonish;astound
astonished,amazed;astonied;astounded;stunned
astonishing,amaze;astonish;astound
astonishing,amazing|astounding;staggering;stupefying
astounded,amaze;astonish;astound
astounded,amazed;astonied;astonished;stunned
astounding,amaze;astonish;astound
astounding,dumbfounding;dumfounding|astonishing;staggering;stupefying
astronomic,astronomical
astronomic,astronomical;galactic
astronomical,astronomic
astronomical,astronomic;galactic
astute,sharp;shrewd
asunder,apart
asymmetrical,asymmetric
asymmetrical,crooked
asymptomatic,symptomless
atheist,atheistic;atheistical
athletic,acrobatic;gymnastic
atlantic,Atlantic;Atlantic Ocean
atlantic,Atlantic
atmospheric,atmospherical
atomic,nuclear
atrocious,flagitious;grievous;monstrous|abominable;awful;dreadful;painful;terrible;unspeakable|frightful;horrifying;horrible;ugly
